Tecla,Posição de aproximação,,,,Posição de pressionamento
U1,"277.69, 305.16, 68.13, 5.26, 0.15, 3.56",,,,"277.69, 305.16, 68.13, 5.26, 0.15, 3.56"
U2,"274.05, 311.08, 73.46, 4.054, 357.38, 355.64",,,,"273.80, 305.67, 68.80, 4.41, 357.11, 355.20"
U3,"270.0, 310.93, 73.45, 2.73, 354.10, 354.82",,,,"269.57, 305.78, 69.08, 3.95, 353.74, 353.44"
U4,"276.43, 310.13, 75.41, 11.78, 358.62, 349.30",,,,"276.11, 305.10, 71.12, 11.7, 358.07, 349.10"
U5,"272.35, 310.38, 75.65, 10.11, 355.46, 348.65",,,,"271.92, 305.78, 71.73, 10.55, 355.01, 347.87"
U6,"268.72, 311.47, 77.08, 8.19, 352.78, 348.46",,,,"268.08, 305.58, 72.14, 9.91, 352.13, 346.29"
U7,"276.78, 311.13, 78.88, 12.178, 358.37, 349.04",,,,"276.28, 305.92, 74.45, 12.095, 357.84, 348.71"
U8,"272.35, 312.27, 80.58, 10.32, 355.014, 348.21",,,,"271.708, 305.57, 74.87, 11.065, 354.35, 346.93"
U9,"268.15, 311.29, 79.77, 7.42, 351.92, 348.58",,,,"267.49, 305.60, 75.12, 9.52, 351.28, 345.87"
U0,"271.71, 311.7, 82.75, 11.27, 354.12, 346.57",,,,"271.07, 305.47, 77.50, 12.23, 353.47, 345.19"
UBRA,"278.30, 311.202, 84.0, 8.76, 358.36, 353.40",,,,"277.86, 305.02, 78.75, 8.77, 357.96, 353.021"
UCON,"266.405, 312.374, 85.198, 4.125, 350.0, 350.0",,,,"264.63, 304.00, 79.59, 12.75, 348.3, 339.84"
UCOR,"270.73, 311.07, 85.59, 16.43, 352.61, 340.47",,,,"270.0, 305.52, 81.03, 17.49, 351.80, 338.87"
US,"281.02, 335.153, 103.448, 10.32, 1.044, 353.63",,,,"281.02, 335.153, 103.448, 10.32, 1.044, 353.63"
T1,"6.61, 303.78, 72.135, 253.0, 335.44, 303.37",,,,"6.58, 301.98, 72.6, 251.04, 338.158, 305.47"
T2,"4.034, 303.52, 70.81, 256.37, 335.0, 297.97",,,,"3.96, 301.08, 71.28, 254.66, 337.91, 299.80"
T3,"1.25, 303.404, 69.071, 260.045, 333.748, 292.08",,,,"1.198, 300.061, 69.474, 258.35, 337.69, 293.829"
T4,"6.86, 307.89, 81.76, 248.17, 340.57, 308.77",,,,"6.6, 304.82, 82.95, 242.73, 344.691, 314.21"
T5,"4.387, 308.17, 80.248, 252.93, 339.49, 301.96",,,,"4.192, 304.808, 81.37, 248.57, 343.92, 306.35"
T6,"1.258, 306.633, 77.268, 257.836, 338.708, 294.44",,,,"1.197, 304.107, 77.793, 255.86, 341.79, 296.559"
T7,"6.7, 311.09, 90.42, 240.84, 345.53, 316.33",,,,"5.98, 308.032, 90.37, 235.83, 348.39, 320.87"
T8,"4.13, 310.47, 88.73, 246.83, 345.3, 308.16",,,,"3.7, 308.13, 89.45, 241.92, 348.27, 312.85"
T9,"1.47, 309.82, 85.28, 254.26, 343.28, 298.46",,,,"1.32, 306.96, 86.28, 249.94, 347.15, 302.70"
T0,"3.9, 314.15, 97.20, 238.84, 349.60, 316.17",,,,"2.893, 310.46, 95.49, 237.05, 351.56, 317.22"
TCON,"0.242, 309.56, 93.29, 244.051, 351.417, 307.88",,,,"0.242, 309.56, 93.29, 244.051, 351.417, 307.88"
TCOR,"6.35, 310.32, 95.72, 230.77, 350.56, 326.53",,,,"6.35, 310.32, 95.72, 230.77, 350.56, 326.53"
TS,"3.0, 324.95, 75.12, 263.091, 317.85, 289.86",,,,"3.0, 324.95, 75.12, 263.091, 317.85, 289.86"
